uid,sample,gender,age_2,dwelling,industry,social_involve_1,social_involve_2,social_involve_3,social_involve_4,social_involve_5,social_involve_6,volunteerdonate_1,volunteerdonate_2,volunteerdonate_3,volunteerdonate_4,volunteerdonate_7,snetwork_ethnicity,snetwork_nationality,snetwork_religion,snetwork_income,snetwork_education,snetwork_sorientation,close_sg_friends,support_immedfam,support_extfam,support_worksch,support_friends,outcome_connection,outcome_future,online_news,online_sm,online_areasinterest,online_sharemedia,marital_stats,children,age_youngestchild,hh_grandparents,hh_parents,hh_siblings,hh_spouse,hh_children,hh_relatives,hh_helper,hh_mates,hh_employer_their_family,hh_grandchildren,hh_other,hh_none,highest_ed,institution_deg,occupation,mhi,mpi,weight,pillarbeh_1,pillarbeh_2,pillarbeh_3,pillarbeh_4,pillarbeh_5,pillarbeh_6,pillarbeh_7,pillarbeh_8,pillarbeh_9,pillarbeh_10,pillarbeh_11,pillarbeh_12,pillarbeh_13,pillarbeh_14,pillarbeh_15,pillarvals_1,pillarvals_2,pillarvals_3,pillarvals_4,pillarvals_5,pillarvals_6,pillarvals_7,pillarvals_8,pillarvals_9,pillarvals_12,pillarvals_13,pillarvals_14,pillarvals_21,pillarvals_22,pillarvals_23,pillarvals_24,pillarvals_25,pillarvals_26,pillarvals_29,pillarvals_30,pillarvals_31,pillarvals_32,pillarvals_33
3982,Resident (Citizen/PR),Female,45-54 years old,HDB 3 room,Health and social services,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,-,9,6,6,6,5,7,Less frequently,Less frequently,A few times a week,A few times a month,Married,Yes,More than 20 years old,No,No,No,No,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$3,001-S$4,000","Below S$1,000",0.886406868,7,5,6,7,5,7,2,2,4,6,6,5,6,6,7,6,6,5,6,6,6,7,6,6,6,5,7,6,7,6,6,7,6,6,6,6,7,8
3983,Resident (Citizen/PR),Male,35-44 years old,HDB 5 room / Executive,"Professional, Scientific and Technical Activities",Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,10 - A lot,7,8,7,7,Daily,Daily,Daily,A few times a week,Married,No,-,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)","Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)",Refuse,Refuse,1.490949758,10 - Strongly agree,8,7,6,5,7,7,6,5,8,10 - Strongly agree,6,6,6,9,7,7,7,8,7,8,6,6,7,7,7,8,7,8,8,8,6,10 - Strongly agree,7,7,7,7,7
3984,Resident (Citizen/PR),Male,20-24 years old,Private apartment / Condominium,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,5,4,5,5,2,3,Less frequently,A few times a week,A few times a week,A few times a week,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Technical / vocational school,-,Student,"S$2,001-S$3,000",-,0.805309091,5,5,3,2,4,3,4,5,2,5,3,4,2,4,6,4,3,4,3,3,3,4,3,3,4,3,3,4,4,3,3,4,3,4,4,4,4,4
3986,Resident (Citizen/PR),Male,55-64 years old,HDB 4 room,Cleaning services,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-,10 - A lot,8,8,8,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,Less frequently,Less frequently,Less frequently,Less frequently,Married,Yes,More than 20 years old,No,Yes,No,No,No,No,No,No,No,No,No,No,Primary school / PSLE,-,"Cleaners, labourers and related workers","S$1,000-2,000","S$1,000-2,000",0.876755424,7,5,7,0 - Do not agree at all,5,5,6,6,0 - Do not agree at all,7,10 - Strongly agree,6,6,5,6,7,6,6,6,7,7,5,5,6,7,6,6,6,6,7,6,6,7,7,6,6,6,6
4039,Resident (Citizen/PR),Female,20-24 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,8,7,7,6,9,9,A few times a week,Daily,A few times a week,A few times a month,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Polytechnic / diploma,-,Student,No income,-,0.856086113,8,8,8,6,7,7,6,8,6,8,8,8,9,6,9,9,10 - Strongly agree,9,8,9,9,7,8,7,9,9,9,8,9,8,8,9,10 - Strongly agree,9,10 - Strongly agree,8,10 - Strongly agree,9
3987,Resident (Citizen/PR),Male,25-34 years old,HDB 5 room / Executive,Information and Communications,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,10 - A lot,10 - A lot,10 - A lot,10 - Very strong,8,Less frequently,A few times a month,A few times a month,A few times a month,Married,Yes,1 year,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Technical / vocational school,-,Other,"S$4,001-S$5,000","S$2,001-S$3,000",1.447757269,9,10 - Strongly agree,9,8,8,8,9,9,5,9,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,9,8,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,8,10 - Strongly agree,10 - Strongly agree,9,9,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,9,9,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
3989,Resident (Citizen/PR),Female,16-19 years old,HDB 5 room / Executive,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,-,10 - A lot,9,8,8,7,8,A few times a week,Daily,A few times a week,A few times a month,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Primary school / PSLE,-,Student,Refuse,-,1.26030958,9,10 - Strongly agree,8,7,8,8,8,8,6,9,9,8,9,9,8,9,8,8,8,8,9,8,9,8,9,8,9,9,9,9,8,9,9,9,8,9,9,8
3990,Resident (Citizen/PR),Male,55-64 years old,HDB 1-2 room,Security,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,-,2,0 - Not at all,0 - Not at all,2,8,8,Less frequently,A few times a week,A few times a week,Less frequently,Married,Yes,More than 20 years old,No,No,No,Yes,No,No,No,No,No,No,No,No,Primary school / PSLE,-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$1,000-2,000","S$1,000-2,000",0.698232852,9,3,7,5,8,9,3,6,5,5,6,6,6,8,2,7,10 - Strongly agree,8,8,10 - Strongly agree,9,9,9,6,6,6,10 - Strongly agree,7,10 - Strongly agree,5,8,6,9,9,10 - Strongly agree,8,9,10 - Strongly agree
3994,Resident (Citizen/PR),Male,16-19 years old,HDB 5 room / Executive,Not currently working,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-,9,6,6,7,7,8,A few times a week,Daily,A few times a month,Less frequently,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Student,"S$6,001-S$7,000",-,1.311828746,7,7,6,6,6,7,7,6,4,6,6,8,7,5,8,8,8,8,7,7,7,7,6,7,8,7,8,8,9,7,7,8,7,7,8,7,7,8
3995,Resident (Citizen/PR),Female,45-54 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,9,5,5,5,7,5,A few times a week,Less frequently,A few times a week,A few times a month,Married,Yes,11,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Polytechnic / diploma,-,Unemployed,"S$2,001-S$3,000",-,0.886406868,7,6,6,6,8,6,7,7,7,6,7,6,6,7,6,7,6,6,6,7,6,6,7,6,6,6,6,6,6,6,6,6,7,6,5,5,6,5
3996,Resident (Citizen/PR),Female,45-54 years old,HDB 5 room / Executive,Manufacturing,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,7,8,8,9,7,Daily,Daily,Daily,A few times a month,Married,Yes,7,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Polytechnic / diploma,-,Middle management (managerial),"$10,001-$11,000","S$6,001-S$7,000",1.440911389,9,8,7,6,7,7,5,6,0 - Do not agree at all,7,7,9,7,7,8,8,8,7,7,7,8,4,7,8,7,8,9,8,9,7,8,9,9,8,8,8,9,9
3997,Resident (Citizen/PR),Male,55-64 years old,HDB 4 room,Transportation/logistics/shipping,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,-,8,8,5,8,7,8,Less frequently,Less frequently,Less frequently,Less frequently,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Plant, Machine Operators and Assemblers (e.g. Machine operator, Crane Operator, Driver etc)","S$4,001-S$5,000","S$2,001-S$3,000",1.000318165,8,7,6,6,7,6,7,6,0 - Do not agree at all,6,8,7,5,5,6,8,8,8,6,7,6,7,7,7,6,8,8,7,6,6,7,7,7,8,7,7,7,7
3998,Resident (Citizen/PR),Male,55-64 years old,Private apartment / Condominium,Self employed,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,-,9,6,5,7,8,6,Daily,A few times a week,Less frequently,A few times a week,Married,Yes,18,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Polytechnic / diploma,-,Self-employed / Freelancer,Refuse,Refuse,0.79236212,8,8,7,7,7,8,7,8,6,7,8,8,8,7,6,9,7,9,7,9,8,7,8,8,7,8,8,9,7,7,8,7,9,7,7,8,8,9
3999,Resident (Citizen/PR),Male,45-54 years old,Private apartment / Condominium,"Professional, Scientific and Technical Activities",No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,9,7,7,8,6,6,A few times a week,A few times a week,A few times a month,A few times a month,Married,No,-,No,No,No,Yes,No,No,No,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)","Senior management (CEO, Director, GM)","Above $20,000","Above $20,000",0.92070953,6,6,7,6,7,7,7,6,7,7,7,5,6,7,6,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4000,Resident (Citizen/PR),Male,25-34 years old,HDB 5 room / Executive,Transportation/logistics/shipping,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,-,10 - A lot,10 - A lot,5,10 - A lot,4,6,A few times a week,A few times a week,Daily,Less frequently,Married,Yes,2,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","S$6,001-S$7,000","S$3,001-S$4,000",1.447118165,8,10 - Strongly agree,7,1,0 - Do not agree at all,4,0 - Do not agree at all,5,0 - Do not agree at all,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,9,10 - Strongly agree,9,9,7,5,5,1,8,5,10 - Strongly agree,0 - Do not agree at all,4,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,1,5,1,4,5
4002,Resident (Citizen/PR),Female,25-34 years old,HDB 5 room / Executive,Construction,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,10 - A lot,8,8,7,7,6,A few times a week,Daily,A few times a month,A few times a month,Married,Yes,7,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Post graduate degree,Non-Singapore university (studied overseas most or all of the time),"Clerical support workers (e.g. Clerks, Customer service officers, Secretary, Receptionists etc)",Refuse,Refuse,1.390285806,8,9,4,4,3,4,7,4,3,5,5,7,5,5,5,6,8,6,4,7,6,4,6,6,6,6,7,6,7,6,6,6,8,7,7,6,7,6
4003,Resident (Citizen/PR),Male,45-54 years old,HDB 5 room / Executive,Information and Communications,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-,9,7,8,8,7,7,A few times a week,Less frequently,A few times a month,Less frequently,Married,Yes,13,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Cleaners, labourers and related workers","S$5,001-S$6,000","S$2,001-S$3,000",1.49981323,10 - Strongly agree,8,6,5,4,5,8,7,0 - Do not agree at all,9,9,8,9,7,8,8,7,8,7,8,6,6,6,7,7,7,8,8,7,8,7,8,7,7,8,7,7,9
4004,Resident (Citizen/PR),Male,25-34 years old,HDB 4 room,Construction,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,-,10 - A lot,10 - A lot,0 - Not at all,10 - A lot,10 - Very strong,5,Daily,Daily,A few times a week,Less frequently,Married,Yes,3,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Primary school / PSLE,-,Self-employed / Freelancer,"S$1,000-2,000","S$1,000-2,000",0.982978931,10 - Strongly agree,10 - Strongly agree,8,5,6,6,5,10 - Strongly agree,0 - Do not agree at all,6,5,5,8,6,6,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,5,10 - Strongly agree,8,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,8,10 - Strongly agree,8,5,10 - Strongly agree,5,10 - Strongly agree
4005,Resident (Citizen/PR),Female,55-64 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,-,10 - A lot,10 - A lot,5,10 - A lot,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,Less frequently,Daily,A few times a month,A few times a month,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Home maker,"S$3,001-S$4,000",-,0.961457317,10 - Strongly agree,7,6,5,6,6,0 - Do not agree at all,2,0 - Do not agree at all,8,10 - Strongly agree,10 - Strongly agree,6,6,7,7,7,8,7,8,7,5,7,5,6,7,8,7,6,7,6,7,9,8,8,6,8,8
4006,Resident (Citizen/PR),Male,35-44 years old,Private apartment / Condominium,Information and Communications,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,9,7,6,8,7,7,A few times a week,A few times a week,A few times a week,A few times a month,Married,Yes,8,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)","Associate professionals (e.g. Paramedic, Assistant Engineer etc)","$14,001-$15,000","S$9,001-S$10,000",0.915268398,7,6,6,2,7,6,6,6,5,6,5,5,6,5,6,5,5,6,6,5,4,5,5,5,5,3,6,6,6,6,6,6,6,6,5,6,5,6
4008,Resident (Citizen/PR),Female,25-34 years old,HDB 5 room / Executive,Education,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,9,9,9,5,5,Daily,Daily,Daily,A few times a month,Married,Yes,Less than 1 year,No,No,No,No,No,No,Yes,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)",Executives / officers,"S$3,001-S$4,000",Refuse,1.390899812,9,9,8,8,7,9,6,7,7,9,6,6,4,7,8,4,3,5,2,3,3,6,5,2,3,1,3,4,5,1,4,10 - Strongly agree,7,2,2,2,5,2
4009,Resident (Citizen/PR),Male,16-19 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,-,10 - A lot,10 - A lot,7,9,6,0 - I don’t want to have any part of shaping Singapore’s future,Daily,Daily,A few times a week,Less frequently,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,"Junior College / Pre-U / ""A"" Levels",-,Student,"S$1,000-2,000",-,0.891081358,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,0 - Do not agree at all,0 - Do not agree at all,6,0 - Do not agree at all,6,0 - Do not agree at all,6,10 - Strongly agree,0 - Do not agree at all,0 - Do not agree at all,0 - Do not agree at all,10 - Strongly agree,6,6,10 - Strongly agree,6,5,0 - Do not agree at all,0 - Do not agree at all,0 - Do not agree at all,5,5,6,5,5,0 - Do not agree at all,5,6,10 - Strongly agree,5,5,5,5,5,5
4011,Resident (Citizen/PR),Female,55-64 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,10 - A lot,5,6,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,Less frequently,A few times a month,Less frequently,A few times a month,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Home maker,"S$5,001-S$6,000",-,0.842322798,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,9,10 - Strongly agree,9,9,4,9,10 - Strongly agree,8,9,9,9,9,9,9,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,9,10 - Strongly agree
4012,Resident (Citizen/PR),Male,35-44 years old,HDB 4 room,"Arts, Entertainment and Recreation",No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,-,10 - A lot,10 - A lot,10 - A lot,10 - A lot,5,1,Daily,Daily,Daily,A few times a week,Divorced / Widowed / Separated,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Polytechnic / diploma,-,"Craftsmen and related trades workers (e.g. Electrician, Plumber, Contractor, Baker etc)","S$6,001-S$7,000","S$4,001-S$5,000",1.013199537,10 - Strongly agree,5,0 - Do not agree at all,5,5,5,0 - Do not agree at all,5,0 - Do not agree at all,5,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,5,5,8,5,5,5,5,8,5,8,0 - Do not agree at all,0 - Do not agree at all,5,5,5,5,5,5,8,0 - Do not agree at all,0 - Do not agree at all,5,5,3
4013,Resident (Citizen/PR),Male,55-64 years old,HDB 4 room,Manufacturing,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,10 - A lot,10 - A lot,6,10 - I have a strong desire to be a part of shaping Singapore’s future,A few times a week,Less frequently,Less frequently,A few times a month,Married,Yes,10,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Primary school / PSLE,-,"Craftsmen and related trades workers (e.g. Electrician, Plumber, Contractor, Baker etc)",Refuse,Refuse,1.000318165,8,9,10 - Strongly agree,8,5,10 - Strongly agree,7,5,5,8,10 - Strongly agree,10 - Strongly agree,9,6,6,8,8,10 - Strongly agree,8,9,8,7,9,7,8,10 - Strongly agree,8,8,7,8,8,8,9,8,9,8,9,10 - Strongly agree
4014,Resident (Citizen/PR),Male,35-44 years old,HDB 5 room / Executive,Tourism / Hospitality / Accommodation,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-,10 - A lot,8,7,9,8,9,A few times a month,Daily,A few times a month,A few times a month,Married,Yes,8,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Polytechnic / diploma,-,Executives / officers,"S$7,001-S$8,000","S$3,001-S$4,000",1.490949758,9,8,7,6,5,7,8,8,0 - Do not agree at all,8,7,10 - Strongly agree,10 - Strongly agree,9,7,9,9,7,4,9,8,8,6,8,9,8,8,8,8,8,9,8,10 - Strongly agree,7,7,7,8,6
4015,Resident (Citizen/PR),Male,55-64 years old,HDB 4 room,Wholesale and Retail Trade,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,-,10 - A lot,10 - A lot,10 - A lot,10 - A lot,8,8,Less frequently,Less frequently,Less frequently,Less frequently,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Primary school / PSLE,-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)",Refuse,"Below S$1,000",1.000318165,6,6,6,6,0 - Do not agree at all,7,6,6,6,6,10 - Strongly agree,7,6,7,6,6,10 - Strongly agree,6,7,7,6,10 - Strongly agree,7,7,6,6,6,6,6,6,6,7,7,7,6,6,6,10 - Strongly agree
4016,Resident (Citizen/PR),Male,45-54 years old,HDB 1-2 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-,7,0 - Not at all,0 - Not at all,0 - Not at all,6,0 - I don’t want to have any part of shaping Singapore’s future,Less frequently,Less frequently,Less frequently,Less frequently,Divorced / Widowed / Separated,Yes,More than 20 years old,No,No,No,No,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Unemployed,"Below S$1,000",-,0.710800556,5,0 - Do not agree at all,0 - Do not agree at all,0 - Do not agree at all,0 - Do not agree at all,0 - Do not agree at all,5,0 - Do not agree at all,0 - Do not agree at all,5,8,0 - Do not agree at all,0 - Do not agree at all,0 - Do not agree at all,0 - Do not agree at all,5,5,5,0 - Do not agree at all,5,0 - Do not agree at all,2,5,0 - Do not agree at all,0 - Do not agree at all,0 - Do not agree at all,5,5,0 - Do not agree at all,0 - Do not agree at all,0 - Do not agree at all,5,7,5,5,0 - Do not agree at all,0 - Do not agree at all,5
4018,Resident (Citizen/PR),Female,45-54 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,9,9,9,10 - Very strong,8,A few times a month,A few times a month,Less frequently,A few times a month,Married,Yes,7,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Plant, Machine Operators and Assemblers (e.g. Machine operator, Crane Operator, Driver etc)","S$1,000-2,000","S$1,000-2,000",0.979195137,10 - Strongly agree,9,9,10 - Strongly agree,6,8,6,10 - Strongly agree,6,10 - Strongly agree,8,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,9,9,10 - Strongly agree,9,8,10 - Strongly agree,9,10 - Strongly agree,9,10 - Strongly agree,9,9,10 - Strongly agree,9,10 - Strongly agree,8,9,10 - Strongly agree,10 - Strongly agree,9,9,8,8
4019,Resident (Citizen/PR),Male,35-44 years old,HDB 5 room / Executive,Information and Communications,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,7,7,7,8,7,Daily,Daily,Daily,Less frequently,Married,Yes,5,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Post graduate degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)",Executives / officers,"S$4,001-S$5,000","S$4,001-S$5,000",1.490949758,10 - Strongly agree,7,7,8,1,7,5,5,1,7,8,6,7,7,7,8,9,8,6,7,7,7,8,6,7,7,9,7,7,8,7,7,10 - Strongly agree,7,8,7,6,10 - Strongly agree
4021,Resident (Citizen/PR),Female,65-75 years old,HDB 3 room,Tourism / Hospitality / Accommodation,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,-,10 - A lot,10 - A lot,7,10 - A lot,9,8,Less frequently,A few times a week,Less frequently,A few times a week,Married,Yes,More than 20 years old,No,No,No,Yes,No,No,No,No,No,No,No,No,Primary school / PSLE,-,Home maker,Refuse,-,0.870349879,9,7,7,7,5,5,5,5,8,7,7,6,6,6,7,6,7,5,7,7,6,7,6,5,6,5,7,7,6,7,7,8,6,7,7,5,5,8
4022,Resident (Citizen/PR),Female,55-64 years old,HDB 3 room,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,8,7,8,9,6,Daily,Daily,A few times a week,A few times a month,Married,Yes,More than 20 years old,No,No,No,Yes,No,No,No,No,No,No,No,No,Polytechnic / diploma,-,Self-employed / Freelancer,"S$1,000-2,000","Below S$1,000",0.870349879,9,9,8,8,7,8,5,5,5,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,9,9,9,10 - Strongly agree,7,9,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,10 - Strongly agree
4025,Resident (Citizen/PR),Male,20-24 years old,Private apartment / Condominium,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-,8,8,9,9,9,9,A few times a week,A few times a week,A few times a week,A few times a month,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)",Student,"$14,001-$15,000",-,0.805309091,10 - Strongly agree,9,7,6,7,8,9,7,5,7,10 - Strongly agree,9,8,7,6,8,9,8,8,8,7,5,8,7,7,10 - Strongly agree,8,7,9,8,8,7,8,8,8,6,7,8
4026,Resident (Citizen/PR),Female,65-75 years old,HDB 1-2 room,Not currently working,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,8,5,0 - Not at all,6,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,Less frequently,Less frequently,Less frequently,Less frequently,Married,Yes,More than 20 years old,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Primary school / PSLE,-,Home maker,No income,-,0.670811305,10 - Strongly agree,5,8,5,10 - Strongly agree,10 - Strongly agree,0 - Do not agree at all,10 - Strongly agree,6,5,8,0 - Do not agree at all,5,8,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
4027,Resident (Citizen/PR),Female,25-34 years old,HDB 3 room,Health and social services,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,-,5,2,3,5,5,8,A few times a week,Daily,Daily,Less frequently,Married,Yes,2,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Polytechnic / diploma,-,"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","S$4,001-S$5,000","Below S$1,000",0.749618391,9,5,6,8,3,9,1,5,0 - Do not agree at all,8,5,5,6,8,8,6,7,5,6,6,9,6,6,9,5,2,5,6,6,6,6,5,9,5,10 - Strongly agree,2,5,0 - Do not agree at all
4028,Resident (Citizen/PR),Female,55-64 years old,HDB 4 room,Wholesale and Retail Trade,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,10 - A lot,10 - A lot,10 - A lot,10 - Very strong,9,Daily,Daily,Daily,A few times a week,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$5,001-S$6,000","Below S$1,000",0.961032887,8,8,8,7,7,9,5,8,8,8,7,6,8,8,8,8,8,8,8,8,8,8,7,7,8,6,8,8,7,8,6,8,8,7,8,7,8,8
